! kin - kinetic energy flux (neutral and ions, dust grains), [erg cm-2 s-1]
! thm - thermal energy flux (neutrals, ions, electrons)
! mgn - magnetic energy flux
! ncool - total integrated gas cooling by line emission (energy transfered via collisions to specimen excitation), cooling < 0., [erg cm-2 s-1]
! na  - integrated neutral gas cooling by atomic emission
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! kin_n - kinetic energy flux of neutrals
! kin_i - kinetic energy flux of ions (no PAH and small grains)
! kin_d - kinetic energy flux of dust (including PAH and small grains)
! thm_n - thermal energy flux of neutrals
! thm_i - thermal energy flux of ions, electrons, small negative grains (PAH)
! totfl - total flux, [erg cm-2 s-1]
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          
!z(cm)       kin         thm         mgn         ncool       na          nh2         nh2o        nco         noh         nnh3        nch3oh      kin_n       kin_i       kin_d       thm_n       thm_i       totfl       
2.84113e+15  2.851e-03   3.596e-05   9.198e-04   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   2.823e-03   2.106e-09   2.819e-05   3.596e-05   1.057e-11   3.807e-03   
6.92272e+15  2.851e-03   3.596e-05   9.199e-04   -1.302e-08  -1.328e-09  1.072e-09   -9.798e-10  -1.178e-08  0.000e+00   0.000e+00   0.000e+00   2.823e-03   2.105e-09   2.819e-05   3.596e-05   1.058e-11   3.807e-03   
1.78188e+16  2.851e-03   3.596e-05   9.202e-04   -8.251e-08  -8.422e-09  6.793e-09   -6.209e-09  -7.468e-08  0.000e+00   0.000e+00   0.000e+00   2.822e-03   2.101e-09   2.817e-05   3.596e-05   1.058e-11   3.807e-03   
4.40169e+16  2.849e-03   3.598e-05   9.217e-04   -2.496e-07  -2.551e-08  2.056e-08   -1.877e-08  -2.259e-07  0.000e+00   0.000e+00   0.000e+00   2.821e-03   2.088e-09   2.810e-05   3.598e-05   1.060e-11   3.807e-03   
7.65023e+16  2.844e-03   3.605e-05   9.268e-04   -4.571e-07  -4.681e-08  3.766e-08   -3.437e-08  -4.136e-07  0.000e+00   0.000e+00   0.000e+00   2.816e-03   2.052e-09   2.785e-05   3.605e-05   1.066e-11   3.807e-03   
1.08373e+17  2.827e-03   3.644e-05   9.418e-04   -6.646e-07  -6.813e-08  5.455e-08   -4.998e-08  -6.010e-07  0.000e+00   0.000e+00   0.000e+00   2.800e-03   1.968e-09   2.715e-05   3.644e-05   1.128e-11   3.806e-03   
1.16456e+17  2.820e-03   3.673e-05   9.489e-04   -7.188e-07  -7.369e-08  5.886e-08   -5.407e-08  -6.499e-07  0.000e+00   0.000e+00   0.000e+00   2.793e-03   1.935e-09   2.682e-05   3.673e-05   1.180e-11   3.806e-03   
1.24582e+17  2.809e-03   3.724e-05   9.585e-04   -7.752e-07  -7.947e-08  6.323e-08   -5.834e-08  -7.006e-07  0.000e+00   0.000e+00   0.000e+00   2.783e-03   1.897e-09   2.638e-05   3.724e-05   1.270e-11   3.806e-03   
1.32831e+17  2.795e-03   3.814e-05   9.716e-04   -8.359e-07  -8.565e-08  6.771e-08   -6.298e-08  -7.550e-07  0.000e+00   0.000e+00   0.000e+00   2.769e-03   1.854e-09   2.580e-05   3.814e-05   1.428e-11   3.805e-03   
1.34445e+17  2.791e-03   3.838e-05   9.747e-04   -8.502e-07  -8.693e-08  6.860e-08   -6.396e-08  -7.679e-07  0.000e+00   0.000e+00   0.000e+00   2.765e-03   1.846e-09   2.566e-05   3.838e-05   1.471e-11   3.805e-03   
1.36415e+17  2.786e-03   3.871e-05   9.787e-04   -8.720e-07  -8.859e-08  6.968e-08   -6.522e-08  -7.879e-07  0.000e+00   0.000e+00   0.000e+00   2.761e-03   1.835e-09   2.548e-05   3.871e-05   1.530e-11   3.805e-03   
1.38550e+17  2.781e-03   3.912e-05   9.835e-04   -9.027e-07  -9.050e-08  7.085e-08   -6.668e-08  -8.164e-07  0.000e+00   0.000e+00   0.000e+00   2.756e-03   1.823e-09   2.528e-05   3.912e-05   1.603e-11   3.805e-03   
1.40781e+17  2.775e-03   3.962e-05   9.889e-04   -9.406e-07  -9.258e-08  7.208e-08   -6.830e-08  -8.518e-07  0.000e+00   0.000e+00   0.000e+00   2.750e-03   1.810e-09   2.505e-05   3.962e-05   1.692e-11   3.804e-03   
1.43100e+17  2.768e-03   4.023e-05   9.951e-04   -9.827e-07  -9.484e-08  7.337e-08   -7.006e-08  -8.911e-07  0.000e+00   0.000e+00   0.000e+00   2.743e-03   1.797e-09   2.478e-05   4.023e-05   1.799e-11   3.804e-03   
1.45435e+17  2.760e-03   4.095e-05   1.002e-03   -1.041e-06  -9.726e-08  7.468e-08   -7.198e-08  -9.460e-07  0.000e+00   0.000e+00   0.000e+00   2.735e-03   1.782e-09   2.449e-05   4.095e-05   1.927e-11   3.804e-03   
1.48149e+17  2.749e-03   4.197e-05   1.011e-03   -1.128e-06  -1.003e-07  7.620e-08   -7.438e-08  -1.029e-06  0.000e+00   0.000e+00   0.000e+00   2.725e-03   1.765e-09   2.412e-05   4.197e-05   2.104e-11   3.803e-03   
